Prekladiste 1: 452 hospod
Prekladiste 2: 524 hospod
Prekladiste 3: 435 hospod
Prekladiste 4: 534 hospod
Prekladiste 5: 490 hospod
Prekladiste 6: 429 hospod
Prekladiste 7: 434 hospod
Prekladiste 8: 502 hospod
Prekladiste soucet: 3800
Pivovar: 200
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=20]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=56]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=72]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=6, id=73]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=89]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=94]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=104]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=124]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=134]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=144]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=150]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=161]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=279]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=313]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=324]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=331]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=367]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=406]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=422]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=502]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=509]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=513]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=515]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=538]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=6, id=549]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=566]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=580]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=586]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=611]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=6, id=615]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=642]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=684]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=707]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=730]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=756]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=782]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=789]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=829]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=830]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=6, id=835]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=930]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=935]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=965]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=984]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=1006]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=1025]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=1047]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=1089]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=1110]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=1114]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=1135]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=1150]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=1172]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=1173]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=1176]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=1217]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=1226]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=1254]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=1268]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=1277]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=1289]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=1315]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=1335]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=1337]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=1347]
Prekladiste 4007 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=1365]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=1411]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=1432]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=1472]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=1504]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=1520]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=1531]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=1585]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=1608]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=1611]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=1614]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=1619]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=1643]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=1657]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=1666]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=1713]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=1730]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=6, id=1742]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=1743]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=1758]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=1762]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=1766]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=1813]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=1837]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=1847]
Prekladiste 4003 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=1877]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=1878]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=3, id=1886]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=6, id=1893]
Prekladiste 4006 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=1895]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=6, id=1928]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=1943]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=4, id=1945]
Prekladiste 4005 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=1946]
Prekladiste 4002 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=1959]
Prekladiste 4004 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=5, id=1982]
Prekladiste 4008 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=2, id=2053]
Prekladiste 4001 prijalo objednavku Objednavka: [den=0, cas=den 0 0:0, objem=1, id=2069]
